month,region,region_code,claimant_count
January 2007,North West,E12000002,120860
January 2007,Yorkshire and The Humber,E12000003,90390
January 2007,East Midlands,E12000004,64295
January 2007,West Midlands,E12000005,112815
January 2007,East,E12000006,68965
January 2007,London,E12000007,159880
January 2007,South East,E12000008,81710
January 2007,South West,E12000009,50965
January 2007,Wales,W92000004,45420
January 2007,Scotland,S92000003,88620
February 2007,North East,E12000001,55070
February 2007,North West,E12000002,122360
February 2007,Yorkshire and The Humber,E12000003,90855
February 2007,East Midlands,E12000004,65670
February 2007,West Midlands,E12000005,113600
February 2007,East,E12000006,71040
February 2007,London,E12000007,159450
February 2007,South East,E12000008,82745
February 2007,South West,E12000009,51760
February 2007,Wales,W92000004,46235
February 2007,Scotland,S92000003,89795
March 2007,North East,E12000001,53825
March 2007,North West,E12000002,119760
March 2007,Yorkshire and The Humber,E12000003,89065
March 2007,East Midlands,E12000004,64850
March 2007,West Midlands,E12000005,111490
March 2007,East,E12000006,69200
March 2007,London,E12000007,158230
March 2007,South East,E12000008,80965
March 2007,South West,E12000009,50225
March 2007,Wales,W92000004,45090
March 2007,Scotland,S92000003,87395
April 2007,North East,E12000001,52095
April 2007,North West,E12000002,115580
April 2007,Yorkshire and The Humber,E12000003,86535
April 2007,East Midlands,E12000004,62205
April 2007,West Midlands,E12000005,107515
April 2007,East,E12000006,65900
April 2007,London,E12000007,153520
April 2007,South East,E12000008,77845
April 2007,South West,E12000009,46505
April 2007,Wales,W92000004,42825
April 2007,Scotland,S92000003,82800
May 2007,North East,E12000001,50060
May 2007,North West,E12000002,111555
May 2007,Yorkshire and The Humber,E12000003,83985
May 2007,East Midlands,E12000004,60830
May 2007,West Midlands,E12000005,104720
May 2007,East,E12000006,63695
May 2007,London,E12000007,150620
May 2007,South East,E12000008,74470
May 2007,South West,E12000009,44525
May 2007,Wales,W92000004,40730
May 2007,Scotland,S92000003,79520
June 2007,North East,E12000001,48405
June 2007,North West,E12000002,107680
June 2007,Yorkshire and The Humber,E12000003,80800
June 2007,East Midlands,E12000004,58315
June 2007,West Midlands,E12000005,101515
June 2007,East,E12000006,61010
June 2007,London,E12000007,145125
June 2007,South East,E12000008,71290
June 2007,South West,E12000009,42135
June 2007,Wales,W92000004,39280
June 2007,Scotland,S92000003,76395
July 2007,North East,E12000001,48365
July 2007,North West,E12000002,108980
July 2007,Yorkshire and The Humber,E12000003,80860
July 2007,East Midlands,E12000004,58230
July 2007,West Midlands,E12000005,101095
July 2007,East,E12000006,59860
July 2007,London,E12000007,144190
July 2007,South East,E12000008,70735
July 2007,South West,E12000009,41050
July 2007,Wales,W92000004,39580
July 2007,Scotland,S92000003,76955
August 2007,North East,E12000001,48115
August 2007,North West,E12000002,109800
August 2007,Yorkshire and The Humber,E12000003,80935
August 2007,East Midlands,E12000004,58600
August 2007,West Midlands,E12000005,102195
August 2007,East,E12000006,59380
August 2007,London,E12000007,143960
August 2007,South East,E12000008,70720
August 2007,South West,E12000009,41035
August 2007,Wales,W92000004,40290
August 2007,Scotland,S92000003,77270
September 2007,North East,E12000001,46725
September 2007,North West,E12000002,107390
September 2007,Yorkshire and The Humber,E12000003,77995
September 2007,East Midlands,E12000004,56190
September 2007,West Midlands,E12000005,99790
September 2007,East,E12000006,57565
September 2007,London,E12000007,141345
September 2007,South East,E12000008,67485
September 2007,South West,E12000009,39100
September 2007,Wales,W92000004,38990
September 2007,Scotland,S92000003,71505
October 2007,North East,E12000001,45895
October 2007,North West,E12000002,103855
October 2007,Yorkshire and The Humber,E12000003,75010
October 2007,East Midlands,E12000004,54030
October 2007,West Midlands,E12000005,96855
October 2007,East,E12000006,55870
October 2007,London,E12000007,136685
October 2007,South East,E12000008,65445
October 2007,South West,E12000009,38045
October 2007,Wales,W92000004,37690
October 2007,Scotland,S92000003,68685
November 2007,North East,E12000001,45830
November 2007,North West,E12000002,102175
November 2007,Yorkshire and The Humber,E12000003,73470
November 2007,East Midlands,E12000004,52550
November 2007,West Midlands,E12000005,93900
November 2007,East,E12000006,54555
November 2007,London,E12000007,132740
November 2007,South East,E12000008,64445
November 2007,South West,E12000009,37605
November 2007,Wales,W92000004,37540
November 2007,Scotland,S92000003,68540
December 2007,North East,E12000001,46735
