month,region,age_band,claimants
June 2012,West Midlands,Aged 50+,25245
June 2012,East,Age unknown (clerical claims),95
June 2012,East,Aged 16-24,31210
June 2012,East,Aged 25-49,61695
June 2012,East,Aged 50+,19770
June 2012,London,Age unknown (clerical claims),460
June 2012,London,Aged 16-24,49185
June 2012,London,Aged 25-49,135715
June 2012,London,Aged 50+,38030
June 2012,South East,Age unknown (clerical claims),585
June 2012,South East,Aged 16-24,36220
June 2012,South East,Aged 25-49,75220
June 2012,South East,Aged 50+,25495
June 2012,South West,Age unknown (clerical claims),190
June 2012,South West,Aged 16-24,24930
June 2012,South West,Aged 25-49,46295
June 2012,South West,Aged 50+,15050
June 2012,Wales,Age unknown (clerical claims),95
June 2012,Wales,Aged 16-24,24755
June 2012,Wales,Aged 25-49,40830
June 2012,Wales,Aged 50+,11180
June 2012,Scotland,Age unknown (clerical claims),470
June 2012,Scotland,Aged 16-24,42265
June 2012,Scotland,Aged 25-49,77610
June 2012,Scotland,Aged 50+,22485
July 2012,North East,Age unknown (clerical claims),300
July 2012,North East,Aged 16-24,29055
July 2012,North East,Aged 25-49,48925
July 2012,North East,Aged 50+,13860
July 2012,North West,Age unknown (clerical claims),280
July 2012,North West,Aged 16-24,59470
July 2012,North West,Aged 25-49,109915
July 2012,North West,Aged 50+,29440
July 2012,Yorkshire and The Humber,Age unknown (clerical claims),335
July 2012,Yorkshire and The Humber,Aged 16-24,50370
July 2012,Yorkshire and The Humber,Aged 25-49,89415
July 2012,Yorkshire and The Humber,Aged 50+,23775
July 2012,East Midlands,Age unknown (clerical claims),140
July 2012,East Midlands,Aged 16-24,33500
July 2012,East Midlands,Aged 25-49,57765
July 2012,East Midlands,Aged 50+,17120
July 2012,West Midlands,Age unknown (clerical claims),180
July 2012,West Midlands,Aged 16-24,48600
July 2012,West Midlands,Aged 25-49,89390
July 2012,West Midlands,Aged 50+,25125
July 2012,East,Age unknown (clerical claims),105
July 2012,East,Aged 16-24,31970
July 2012,East,Aged 25-49,61175
July 2012,East,Aged 50+,19650
July 2012,London,Age unknown (clerical claims),485
July 2012,London,Aged 16-24,50080
July 2012,London,Aged 25-49,134210
July 2012,London,Aged 50+,37355
July 2012,South East,Age unknown (clerical claims),555
July 2012,South East,Aged 16-24,36555
July 2012,South East,Aged 25-49,74165
July 2012,South East,Aged 50+,25245
July 2012,South West,Age unknown (clerical claims),205
July 2012,South West,Aged 16-24,25335
July 2012,South West,Aged 25-49,46070
July 2012,South West,Aged 50+,14825
July 2012,Wales,Age unknown (clerical claims),75
July 2012,Wales,Aged 16-24,25455
July 2012,Wales,Aged 25-49,41275
July 2012,Wales,Aged 50+,11150
July 2012,Scotland,Age unknown (clerical claims),510
July 2012,Scotland,Aged 16-24,44665
July 2012,Scotland,Aged 25-49,78500
July 2012,Scotland,Aged 50+,22355
August 2012,North East,Age unknown (clerical claims),300
August 2012,North East,Aged 16-24,28730
August 2012,North East,Aged 25-49,49115
August 2012,North East,Aged 50+,13965
August 2012,North West,Age unknown (clerical claims),315
August 2012,North West,Aged 16-24,59310
August 2012,North West,Aged 25-49,109950
August 2012,North West,Aged 50+,29335
August 2012,Yorkshire and The Humber,Age unknown (clerical claims),370
August 2012,Yorkshire and The Humber,Aged 16-24,50290
August 2012,Yorkshire and The Humber,Aged 25-49,89415
August 2012,Yorkshire and The Humber,Aged 50+,23745
August 2012,East Midlands,Age unknown (clerical claims),125
August 2012,East Midlands,Aged 16-24,33125
August 2012,East Midlands,Aged 25-49,57535
August 2012,East Midlands,Aged 50+,17095
August 2012,West Midlands,Age unknown (clerical claims),200
August 2012,West Midlands,Aged 16-24,49025
August 2012,West Midlands,Aged 25-49,90105
August 2012,West Midlands,Aged 50+,25330
August 2012,East,Age unknown (clerical claims),115
August 2012,East,Aged 16-24,32020
August 2012,East,Aged 25-49,60750
August 2012,East,Aged 50+,19380
August 2012,London,Age unknown (clerical claims),490
August 2012,London,Aged 16-24,49625
August 2012,London,Aged 25-49,131430
August 2012,London,Aged 50+,36660
August 2012,South East,Age unknown (clerical claims),560
August 2012,South East,Aged 16-24,36665
August 2012,South East,Aged 25-49,73835
August 2012,South East,Aged 50+,24965
August 2012,South West,Age unknown (clerical claims),210
August 2012,South West,Aged 16-24,25285
August 2012,South West,Aged 25-49,45875
August 2012,South West,Aged 50+,14740
August 2012,Wales,Age unknown (clerical claims),110
August 2012,Wales,Aged 16-24,25720
August 2012,Wales,Aged 25-49,41915
August 2012,Wales,Aged 50+,11230
August 2012,Scotland,Age unknown (clerical claims),560
August 2012,Scotland,Aged 16-24,44640
August 2012,Scotland,Aged 25-49,78710
August 2012,Scotland,Aged 50+,22335
September 2012,North East,Age unknown (clerical claims),310
September 2012,North East,Aged 16-24,29695
September 2012,North East,Aged 25-49,49290
September 2012,North East,Aged 50+,13845
September 2012,North West,Age unknown (clerical claims),275
September 2012,North West,Aged 16-24,59645
September 2012,North West,Aged 25-49,108840
September 2012,North West,Aged 50+,28895
September 2012,Yorkshire and The Humber,Age unknown (clerical claims),320
September 2012,Yorkshire and The Humber,Aged 16-24,49620
September 2012,Yorkshire and The Humber,Aged 25-49,88245
September 2012,Yorkshire and The Humber,Aged 50+,23200
September 2012,East Midlands,Age unknown (clerical claims),75
September 2012,East Midlands,Aged 16-24,32790
September 2012,East Midlands,Aged 25-49,56745
September 2012,East Midlands,Aged 50+,16780
September 2012,West Midlands,Age unknown (clerical claims),285
September 2012,West Midlands,Aged 16-24,49095
September 2012,West Midlands,Aged 25-49,89070
September 2012,West Midlands,Aged 50+,24945
September 2012,East,Age unknown (clerical claims),95
September 2012,East,Aged 16-24,32190
September 2012,East,Aged 25-49,60570
September 2012,East,Aged 50+,19040
September 2012,London,Age unknown (clerical claims),515
September 2012,London,Aged 16-24,50820
September 2012,London,Aged 25-49,133490
September 2012,London,Aged 50+,36880
September 2012,South East,Age unknown (clerical claims),645
September 2012,South East,Aged 16-24,36245
September 2012,South East,Aged 25-49,73025
September 2012,South East,Aged 50+,24225
September 2012,South West,Age unknown (clerical claims),250
September 2012,South West,Aged 16-24,25020
September 2012,South West,Aged 25-49,44960
September 2012,South West,Aged 50+,14375
September 2012,Wales,Age unknown (clerical claims),105
September 2012,Wales,Aged 16-24,25590
September 2012,Wales,Aged 25-49,41825
September 2012,Wales,Aged 50+,11190
September 2012,Scotland,Age unknown (clerical claims),300
September 2012,Scotland,Aged 16-24,38745
September 2012,Scotland,Aged 25-49,75000
September 2012,Scotland,Aged 50+,21690
October 2012,North East,Age unknown (clerical claims),320
October 2012,North East,Aged 16-24,29360
October 2012,North East,Aged 25-49,49755
October 2012,North East,Aged 50+,14255
October 2012,North West,Age unknown (clerical claims),305
October 2012,North West,Aged 16-24,58420
October 2012,North West,Aged 25-49,108620
October 2012,North West,Aged 50+,29085
October 2012,Yorkshire and The Humber,Age unknown (clerical claims),345
October 2012,Yorkshire and The Humber,Aged 16-24,48395
October 2012,Yorkshire and The Humber,Aged 25-49,87950
October 2012,Yorkshire and The Humber,Aged 50+,23460
October 2012,East Midlands,Age unknown (clerical claims),120
October 2012,East Midlands,Aged 16-24,31405
October 2012,East Midlands,Aged 25-49,56225
October 2012,East Midlands,Aged 50+,16850
October 2012,West Midlands,Age unknown (clerical claims),120
October 2012,West Midlands,Aged 16-24,47510
October 2012,West Midlands,Aged 25-49,88395
October 2012,West Midlands,Aged 50+,25005
October 2012,East,Age unknown (clerical claims),65
October 2012,East,Aged 16-24,31350
October 2012,East,Aged 25-49,60565
October 2012,East,Aged 50+,19200
October 2012,London,Age unknown (clerical claims),515
October 2012,London,Aged 16-24,50600
October 2012,London,Aged 25-49,136145
October 2012,London,Aged 50+,37535
October 2012,South East,Age unknown (clerical claims),585
October 2012,South East,Aged 16-24,35545
October 2012,South East,Aged 25-49,73140
October 2012,South East,Aged 50+,24565
October 2012,South West,Age unknown (clerical claims),250
October 2012,South West,Aged 16-24,24810
October 2012,South West,Aged 25-49,45250
October 2012,South West,Aged 50+,14685
October 2012,Wales,Age unknown (clerical claims),110
October 2012,Wales,Aged 16-24,25095
October 2012,Wales,Aged 25-49,42070
October 2012,Wales,Aged 50+,11505
October 2012,Scotland,Age unknown (clerical claims),320
October 2012,Scotland,Aged 16-24,37710
October 2012,Scotland,Aged 25-49,74595
October 2012,Scotland,Aged 50+,21825
November 2012,North East,Age unknown (clerical claims),325
November 2012,North East,Aged 16-24,28680
November 2012,North East,Aged 25-49,50120
November 2012,North East,Aged 50+,14365
November 2012,North West,Age unknown (clerical claims),320
November 2012,North West,Aged 16-24,56135
November 2012,North West,Aged 25-49,108565
November 2012,North West,Aged 50+,29000
November 2012,Yorkshire and The Humber,Age unknown (clerical claims),285
November 2012,Yorkshire and The Humber,Aged 16-24,46830
November 2012,Yorkshire and The Humber,Aged 25-49,87945
November 2012,Yorkshire and The Humber,Aged 50+,23770
November 2012,East Midlands,Age unknown (clerical claims),95
November 2012,East Midlands,Aged 16-24,30195
November 2012,East Midlands,Aged 25-49,56060
November 2012,East Midlands,Aged 50+,16895
November 2012,West Midlands,Age unknown (clerical claims),190
November 2012,West Midlands,Aged 16-24,45565
November 2012,West Midlands,Aged 25-49,88005
November 2012,West Midlands,Aged 50+,24895
November 2012,East,Age unknown (clerical claims),85
November 2012,East,Aged 16-24,30050
November 2012,East,Aged 25-49,60535
November 2012,East,Aged 50+,19240
November 2012,London,Age unknown (clerical claims),510
November 2012,London,Aged 16-24,49120
November 2012,London,Aged 25-49,136535
November 2012,London,Aged 50+,37575
November 2012,South East,Age unknown (clerical claims),570
November 2012,South East,Aged 16-24,34370
November 2012,South East,Aged 25-49,73510
November 2012,South East,Aged 50+,24740
November 2012,South West,Age unknown (clerical claims),205
November 2012,South West,Aged 16-24,24480
November 2012,South West,Aged 25-49,45525
November 2012,South West,Aged 50+,14905
November 2012,Wales,Age unknown (clerical claims),110
November 2012,Wales,Aged 16-24,23945
November 2012,Wales,Aged 25-49,41705
November 2012,Wales,Aged 50+,11620
November 2012,Scotland,Age unknown (clerical claims),285
November 2012,Scotland,Aged 16-24,36700
November 2012,Scotland,Aged 25-49,75055
November 2012,Scotland,Aged 50+,22055
December 2012,North East,Age unknown (clerical claims),270
December 2012,North East,Aged 16-24,27925
December 2012,North East,Aged 25-49,50485
December 2012,North East,Aged 50+,14585
December 2012,North West,Age unknown (clerical claims),260
December 2012,North West,Aged 16-24,53745
December 2012,North West,Aged 25-49,108385
December 2012,North West,Aged 50+,29085
December 2012,Yorkshire and The Humber,Age unknown (clerical claims),350
December 2012,Yorkshire and The Humber,Aged 16-24,46235
December 2012,Yorkshire and The Humber,Aged 25-49,88865
December 2012,Yorkshire and The Humber,Aged 50+,24060
December 2012,East Midlands,Age unknown (clerical claims),100
December 2012,East Midlands,Aged 16-24,29090
December 2012,East Midlands,Aged 25-49,56170
December 2012,East Midlands,Aged 50+,17065
December 2012,West Midlands,Age unknown (clerical claims),205
December 2012,West Midlands,Aged 16-24,43510
December 2012,West Midlands,Aged 25-49,88215
December 2012,West Midlands,Aged 50+,25115
December 2012,East,Age unknown (clerical claims),80
December 2012,East,Aged 16-24,28930
December 2012,East,Aged 25-49,60760
December 2012,East,Aged 50+,19500
December 2012,London,Age unknown (clerical claims),480
December 2012,London,Aged 16-24,45890
December 2012,London,Aged 25-49,135135
December 2012,London,Aged 50+,37785
December 2012,South East,Age unknown (clerical claims),515
December 2012,South East,Aged 16-24,32900
December 2012,South East,Aged 25-49,73610
December 2012,South East,Aged 50+,24850
December 2012,South West,Age unknown (clerical claims),260
December 2012,South West,Aged 16-24,23630
December 2012,South West,Aged 25-49,45515
December 2012,South West,Aged 50+,15095
December 2012,Wales,Age unknown (clerical claims),110
December 2012,Wales,Aged 16-24,23220
December 2012,Wales,Aged 25-49,42280
December 2012,Wales,Aged 50+,11870
December 2012,Scotland,Age unknown (clerical claims),335
December 2012,Scotland,Aged 16-24,35500
December 2012,Scotland,Aged 25-49,75300
December 2012,Scotland,Aged 50+,22370
January 2013,North East,Age unknown (clerical claims),375
January 2013,North East,Aged 16-24,28740
January 2013,North East,Aged 25-49,52350
January 2013,North East,Aged 50+,15285
January 2013,North West,Age unknown (clerical claims),265
January 2013,North West,Aged 16-24,55550
January 2013,North West,Aged 25-49,112480
January 2013,North West,Aged 50+,30260
January 2013,Yorkshire and The Humber,Age unknown (clerical claims),420
January 2013,Yorkshire and The Humber,Aged 16-24,47920
January 2013,Yorkshire and The Humber,Aged 25-49,92445
January 2013,Yorkshire and The Humber,Aged 50+,25125
January 2013,East Midlands,Age unknown (clerical claims),150
January 2013,East Midlands,Aged 16-24,30200
January 2013,East Midlands,Aged 25-49,58480
January 2013,East Midlands,Aged 50+,17950
January 2013,West Midlands,Age unknown (clerical claims),215
January 2013,West Midlands,Aged 16-24,45240
January 2013,West Midlands,Aged 25-49,91435
January 2013,West Midlands,Aged 50+,26040
January 2013,East,Age unknown (clerical claims),80
January 2013,East,Aged 16-24,30335
January 2013,East,Aged 25-49,63395
January 2013,East,Aged 50+,20430
January 2013,London,Age unknown (clerical claims),535
January 2013,London,Aged 16-24,45545
January 2013,London,Aged 25-49,136700
January 2013,London,Aged 50+,38340
January 2013,South East,Age unknown (clerical claims),720
January 2013,South East,Aged 16-24,34270
January 2013,South East,Aged 25-49,76420
January 2013,South East,Aged 50+,26030
January 2013,South West,Age unknown (clerical claims),345
January 2013,South West,Aged 16-24,24685
January 2013,South West,Aged 25-49,47820
January 2013,South West,Aged 50+,15965
January 2013,Wales,Age unknown (clerical claims),110
January 2013,Wales,Aged 16-24,24360
January 2013,Wales,Aged 25-49,44360
January 2013,Wales,Aged 50+,12500
January 2013,Scotland,Age unknown (clerical claims),430
January 2013,Scotland,Aged 16-24,37885
January 2013,Scotland,Aged 25-49,79890
January 2013,Scotland,Aged 50+,23765
February 2013,North East,Age unknown (clerical claims),395
February 2013,North East,Aged 16-24,28865
February 2013,North East,Aged 25-49,51515
February 2013,North East,Aged 50+,15090
February 2013,North West,Age unknown (clerical claims),335
February 2013,North West,Aged 16-24,57095
February 2013,North West,Aged 25-49,113400
February 2013,North West,Aged 50+,30780
February 2013,Yorkshire and The Humber,Age unknown (clerical claims),435
February 2013,Yorkshire and The Humber,Aged 16-24,49425
February 2013,Yorkshire and The Humber,Aged 25-49,93390
February 2013,Yorkshire and The Humber,Aged 50+,25435
February 2013,East Midlands,Age unknown (clerical claims),130
February 2013,East Midlands,Aged 16-24,31790
February 2013,East Midlands,Aged 25-49,59720
February 2013,East Midlands,Aged 50+,18130
February 2013,West Midlands,Age unknown (clerical claims),155
February 2013,West Midlands,Aged 16-24,46810
February 2013,West Midlands,Aged 25-49,93155
February 2013,West Midlands,Aged 50+,26485
February 2013,East,Age unknown (clerical claims),100
February 2013,East,Aged 16-24,32150
February 2013,East,Aged 25-49,65255
February 2013,East,Aged 50+,21010
February 2013,London,Age unknown (clerical claims),445
February 2013,London,Aged 16-24,47195
February 2013,London,Aged 25-49,139105
February 2013,London,Aged 50+,38880
February 2013,South East,Age unknown (clerical claims),545
February 2013,South East,Aged 16-24,36275
February 2013,South East,Aged 25-49,78105
February 2013,South East,Aged 50+,26605
February 2013,South West,Age unknown (clerical claims),265
February 2013,South West,Aged 16-24,25830
February 2013,South West,Aged 25-49,48320
February 2013,South West,Aged 50+,16250
February 2013,Wales,Age unknown (clerical claims),95
February 2013,Wales,Aged 16-24,25115
February 2013,Wales,Aged 25-49,44865
February 2013,Wales,Aged 50+,12725
February 2013,Scotland,Age unknown (clerical claims),405
February 2013,Scotland,Aged 16-24,39665
February 2013,Scotland,Aged 25-49,81395
February 2013,Scotland,Aged 50+,24450
March 2013,North East,Age unknown (clerical claims),265
March 2013,North East,Aged 16-24,28060
March 2013,North East,Aged 25-49,50200
March 2013,North East,Aged 50+,14740
March 2013,North West,Age unknown (clerical claims),305
March 2013,North West,Aged 16-24,56060
March 2013,North West,Aged 25-49,111395
March 2013,North West,Aged 50+,30335
March 2013,Yorkshire and The Humber,Age unknown (clerical claims),385
March 2013,Yorkshire and The Humber,Aged 16-24,47975
March 2013,Yorkshire and The Humber,Aged 25-49,92280
March 2013,Yorkshire and The Humber,Aged 50+,25130
March 2013,East Midlands,Age unknown (clerical claims),95
March 2013,East Midlands,Aged 16-24,31320
March 2013,East Midlands,Aged 25-49,59010
March 2013,East Midlands,Aged 50+,17985
March 2013,West Midlands,Age unknown (clerical claims),95
March 2013,West Midlands,Aged 16-24,45930
March 2013,West Midlands,Aged 25-49,91815
March 2013,West Midlands,Aged 50+,26225
March 2013,East,Age unknown (clerical claims),70
March 2013,East,Aged 16-24,31460
March 2013,East,Aged 25-49,64000
March 2013,East,Aged 50+,20930
March 2013,London,Age unknown (clerical claims),385
March 2013,London,Aged 16-24,46350
March 2013,London,Aged 25-49,137430
March 2013,London,Aged 50+,38835
March 2013,South East,Age unknown (clerical claims),465
March 2013,South East,Aged 16-24,35360
March 2013,South East,Aged 25-49,76105
March 2013,South East,Aged 50+,26100
March 2013,South West,Age unknown (clerical claims),175
March 2013,South West,Aged 16-24,25130
March 2013,South West,Aged 25-49,47085
March 2013,South West,Aged 50+,15955
March 2013,Wales,Age unknown (clerical claims),105
March 2013,Wales,Aged 16-24,24385
March 2013,Wales,Aged 25-49,43815
March 2013,Wales,Aged 50+,12530
March 2013,Scotland,Age unknown (clerical claims),300
March 2013,Scotland,Aged 16-24,38945
March 2013,Scotland,Aged 25-49,79725
March 2013,Scotland,Aged 50+,23995
April 2013,North East,Age unknown (clerical claims),200
April 2013,North East,Aged 16-24,26730
April 2013,North East,Aged 25-49,49240
April 2013,North East,Aged 50+,14510
April 2013,North West,Age unknown (clerical claims),260
April 2013,North West,Aged 16-24,53195
April 2013,North West,Aged 25-49,108985
April 2013,North West,Aged 50+,30420
April 2013,Yorkshire and The Humber,Age unknown (clerical claims),285
April 2013,Yorkshire and The Humber,Aged 16-24,45670
April 2013,Yorkshire and The Humber,Aged 25-49,90530
April 2013,Yorkshire and The Humber,Aged 50+,24970
April 2013,East Midlands,Age unknown (clerical claims),90
April 2013,East Midlands,Aged 16-24,30095
April 2013,East Midlands,Aged 25-49,57740
April 2013,East Midlands,Aged 50+,17775
April 2013,West Midlands,Age unknown (clerical claims),155
April 2013,West Midlands,Aged 16-24,43780
April 2013,West Midlands,Aged 25-49,90070
April 2013,West Midlands,Aged 50+,26275
April 2013,East,Age unknown (clerical claims),60
April 2013,East,Aged 16-24,29565
April 2013,East,Aged 25-49,62160
April 2013,East,Aged 50+,20545
April 2013,London,Age unknown (clerical claims),390
April 2013,London,Aged 16-24,44065
April 2013,London,Aged 25-49,135150
April 2013,London,Aged 50+,38915
April 2013,South East,Age unknown (clerical claims),435
April 2013,South East,Aged 16-24,32850
April 2013,South East,Aged 25-49,73365
April 2013,South East,Aged 50+,25435
April 2013,South West,Age unknown (clerical claims),230
April 2013,South West,Aged 16-24,22970
April 2013,South West,Aged 25-49,45265
April 2013,South West,Aged 50+,15700
April 2013,Wales,Age unknown (clerical claims),90
April 2013,Wales,Aged 16-24,23135
April 2013,Wales,Aged 25-49,42685
April 2013,Wales,Aged 50+,12410
April 2013,Scotland,Age unknown (clerical claims),300
April 2013,Scotland,Aged 16-24,36725
April 2013,Scotland,Aged 25-49,77450
April 2013,Scotland,Aged 50+,23560
May 2013,North East,Age unknown (clerical claims),195
May 2013,North East,Aged 16-24,25985
May 2013,North East,Aged 25-49,48095
May 2013,North East,Aged 50+,14295
May 2013,North West,Age unknown (clerical claims),255
May 2013,North West,Aged 16-24,51055
May 2013,North West,Aged 25-49,106670
May 2013,North West,Aged 50+,29945
May 2013,Yorkshire and The Humber,Age unknown (clerical claims),260
May 2013,Yorkshire and The Humber,Aged 16-24,44435
May 2013,Yorkshire and The Humber,Aged 25-49,88660
May 2013,Yorkshire and The Humber,Aged 50+,24530
May 2013,East Midlands,Age unknown (clerical claims),70
May 2013,East Midlands,Aged 16-24,28790
May 2013,East Midlands,Aged 25-49,55945
May 2013,East Midlands,Aged 50+,17405
May 2013,West Midlands,Age unknown (clerical claims),110
May 2013,West Midlands,Aged 16-24,42205
May 2013,West Midlands,Aged 25-49,88095
May 2013,West Midlands,Aged 50+,25840
May 2013,East,Age unknown (clerical claims),50
May 2013,East,Aged 16-24,28280
May 2013,East,Aged 25-49,60125
May 2013,East,Aged 50+,19830
May 2013,London,Age unknown (clerical claims),380
May 2013,London,Aged 16-24,42350
May 2013,London,Aged 25-49,131915
May 2013,London,Aged 50+,38650
May 2013,South East,Age unknown (clerical claims),535
May 2013,South East,Aged 16-24,30920
May 2013,South East,Aged 25-49,70650
May 2013,South East,Aged 50+,24705
May 2013,South West,Age unknown (clerical claims),180
May 2013,South West,Aged 16-24,21900
May 2013,South West,Aged 25-49,43835
May 2013,South West,Aged 50+,15270
May 2013,Wales,Age unknown (clerical claims),90
May 2013,Wales,Aged 16-24,22075
May 2013,Wales,Aged 25-49,41505
May 2013,Wales,Aged 50+,12120
May 2013,Scotland,Age unknown (clerical claims),305
May 2013,Scotland,Aged 16-24,35420
May 2013,Scotland,Aged 25-49,75505
May 2013,Scotland,Aged 50+,23175
June 2013,North East,Age unknown (clerical claims),165
June 2013,North East,Aged 16-24,24735
June 2013,North East,Aged 25-49,46190
June 2013,North East,Aged 50+,13930
June 2013,North West,Age unknown (clerical claims),300
June 2013,North West,Aged 16-24,49275
June 2013,North West,Aged 25-49,102615
June 2013,North West,Aged 50+,29295
June 2013,Yorkshire and The Humber,Age unknown (clerical claims),235
June 2013,Yorkshire and The Humber,Aged 16-24,42770
June 2013,Yorkshire and The Humber,Aged 25-49,85820
June 2013,Yorkshire and The Humber,Aged 50+,24120
June 2013,East Midlands,Age unknown (clerical claims),65
June 2013,East Midlands,Aged 16-24,27305
June 2013,East Midlands,Aged 25-49,53400
June 2013,East Midlands,Aged 50+,16705
June 2013,West Midlands,Age unknown (clerical claims),85
June 2013,West Midlands,Aged 16-24,40315
June 2013,West Midlands,Aged 25-49,85820
June 2013,West Midlands,Aged 50+,25405
June 2013,East,Age unknown (clerical claims),55
June 2013,East,Aged 16-24,26555
June 2013,East,Aged 25-49,57275
June 2013,East,Aged 50+,19170
June 2013,London,Age unknown (clerical claims),360
June 2013,London,Aged 16-24,40225
June 2013,London,Aged 25-49,127300
June 2013,London,Aged 50+,38010
June 2013,South East,Age unknown (clerical claims),610
June 2013,South East,Aged 16-24,28720
June 2013,South East,Aged 25-49,66390
June 2013,South East,Aged 50+,23660
June 2013,South West,Age unknown (clerical claims),170
June 2013,South West,Aged 16-24,20215
June 2013,South West,Aged 25-49,41310
June 2013,South West,Aged 50+,14530
June 2013,Wales,Age unknown (clerical claims),90
June 2013,Wales,Aged 16-24,20945
June 2013,Wales,Aged 25-49,39665
June 2013,Wales,Aged 50+,11770
June 2013,Scotland,Age unknown (clerical claims),255
June 2013,Scotland,Aged 16-24,35865
June 2013,Scotland,Aged 25-49,73895
June 2013,Scotland,Aged 50+,22555
July 2013,North East,Age unknown (clerical claims),130
July 2013,North East,Aged 16-24,24495
July 2013,North East,Aged 25-49,45170
July 2013,North East,Aged 50+,13625
July 2013,North West,Age unknown (clerical claims),245
July 2013,North West,Aged 16-24,49610
July 2013,North West,Aged 25-49,100950
July 2013,North West,Aged 50+,29165
July 2013,Yorkshire and The Humber,Age unknown (clerical claims),220
July 2013,Yorkshire and The Humber,Aged 16-24,42740
July 2013,Yorkshire and The Humber,Aged 25-49,83840
July 2013,Yorkshire and The Humber,Aged 50+,23570
July 2013,East Midlands,Age unknown (clerical claims),80
July 2013,East Midlands,Aged 16-24,27325
July 2013,East Midlands,Aged 25-49,51695
July 2013,East Midlands,Aged 50+,16300
July 2013,West Midlands,Age unknown (clerical claims),100
July 2013,West Midlands,Aged 16-24,40705
July 2013,West Midlands,Aged 25-49,84125
July 2013,West Midlands,Aged 50+,25065
July 2013,East,Age unknown (clerical claims),60
July 2013,East,Aged 16-24,26540
July 2013,East,Aged 25-49,55430
July 2013,East,Aged 50+,18540
July 2013,London,Age unknown (clerical claims),310
July 2013,London,Aged 16-24,40860
July 2013,London,Aged 25-49,123490
July 2013,London,Aged 50+,37085
July 2013,South East,Age unknown (clerical claims),555
July 2013,South East,Aged 16-24,28650
July 2013,South East,Aged 25-49,64105
July 2013,South East,Aged 50+,23005
July 2013,South West,Age unknown (clerical claims),160
July 2013,South West,Aged 16-24,20200
July 2013,South West,Aged 25-49,39805
July 2013,South West,Aged 50+,13990
July 2013,Wales,Age unknown (clerical claims),90
July 2013,Wales,Aged 16-24,21145
July 2013,Wales,Aged 25-49,38785
July 2013,Wales,Aged 50+,11580
July 2013,Scotland,Age unknown (clerical claims),545
July 2013,Scotland,Aged 16-24,37590
July 2013,Scotland,Aged 25-49,72700
July 2013,Scotland,Aged 50+,21880
August 2013,North East,Age unknown (clerical claims),115
August 2013,North East,Aged 16-24,23980
August 2013,North East,Aged 25-49,44090
August 2013,North East,Aged 50+,13310
August 2013,North West,Age unknown (clerical claims),230
August 2013,North West,Aged 16-24,48750
August 2013,North West,Aged 25-49,98220
August 2013,North West,Aged 50+,28760
August 2013,Yorkshire and The Humber,Age unknown (clerical claims),220
August 2013,Yorkshire and The Humber,Aged 16-24,41830
August 2013,Yorkshire and The Humber,Aged 25-49,81490
August 2013,Yorkshire and The Humber,Aged 50+,23010
August 2013,East Midlands,Age unknown (clerical claims),55
August 2013,East Midlands,Aged 16-24,26805
August 2013,East Midlands,Aged 25-49,50305
August 2013,East Midlands,Aged 50+,15980
August 2013,West Midlands,Age unknown (clerical claims),90
August 2013,West Midlands,Aged 16-24,40035
August 2013,West Midlands,Aged 25-49,82315
August 2013,West Midlands,Aged 50+,24770
August 2013,East,Age unknown (clerical claims),55
August 2013,East,Aged 16-24,25935
August 2013,East,Aged 25-49,53605
August 2013,East,Aged 50+,18110
August 2013,London,Age unknown (clerical claims),325
August 2013,London,Aged 16-24,41075
August 2013,London,Aged 25-49,120115
August 2013,London,Aged 50+,36605
August 2013,South East,Age unknown (clerical claims),485
August 2013,South East,Aged 16-24,28110
August 2013,South East,Aged 25-49,62300
August 2013,South East,Aged 50+,22465
August 2013,South West,Age unknown (clerical claims),155
August 2013,South West,Aged 16-24,19720
August 2013,South West,Aged 25-49,38870
August 2013,South West,Aged 50+,13530
August 2013,Wales,Age unknown (clerical claims),95
August 2013,Wales,Aged 16-24,21305
August 2013,Wales,Aged 25-49,38150
August 2013,Wales,Aged 50+,11575
August 2013,Scotland,Age unknown (clerical claims),535
August 2013,Scotland,Aged 16-24,36765
August 2013,Scotland,Aged 25-49,71270
August 2013,Scotland,Aged 50+,21585
September 2013,North East,Age unknown (clerical claims),105
September 2013,North East,Aged 16-24,23730
September 2013,North East,Aged 25-49,42115
September 2013,North East,Aged 50+,12570
September 2013,North West,Age unknown (clerical claims),225
September 2013,North West,Aged 16-24,47220
September 2013,North West,Aged 25-49,93430
September 2013,North West,Aged 50+,27490
September 2013,Yorkshire and The Humber,Age unknown (clerical claims),200
September 2013,Yorkshire and The Humber,Aged 16-24,40350
September 2013,Yorkshire and The Humber,Aged 25-49,77860
September 2013,Yorkshire and The Humber,Aged 50+,21925
September 2013,East Midlands,Age unknown (clerical claims),80
September 2013,East Midlands,Aged 16-24,25640
September 2013,East Midlands,Aged 25-49,47600
September 2013,East Midlands,Aged 50+,14970
September 2013,West Midlands,Age unknown (clerical claims),90
September 2013,West Midlands,Aged 16-24,39295
September 2013,West Midlands,Aged 25-49,78570
September 2013,West Midlands,Aged 50+,23685
September 2013,East,Age unknown (clerical claims),50
September 2013,East,Aged 16-24,24950
September 2013,East,Aged 25-49,51100
September 2013,East,Aged 50+,17420
September 2013,London,Age unknown (clerical claims),295
September 2013,London,Aged 16-24,40395
September 2013,London,Aged 25-49,115445
