"DATE_NAME","GEOGRAPHY_NAME","ITEM_NAME","OBS_VALUE"
"2012","East Midlands","90 percentile",910.3
"2012","West Midlands","Median",469.3
"2012","West Midlands","10 percentile",272.1
"2012","West Midlands","25 percentile",341.1
"2012","West Midlands","75 percentile",660.5
"2012","West Midlands","90 percentile",895.2
"2012","East","Median",531.4
"2012","East","10 percentile",291.7
"2012","East","25 percentile",380.0
"2012","East","75 percentile",764.7
"2012","East","90 percentile",1082.8
"2012","London","Median",613.3
"2012","London","10 percentile",325.4
"2012","London","25 percentile",440.8
"2012","London","75 percentile",862.4
"2012","London","90 percentile",1285.5
"2012","South East","Median",555.8
"2012","South East","10 percentile",299.4
"2012","South East","25 percentile",392.2
"2012","South East","75 percentile",806.4
"2012","South East","90 percentile",1177.9
"2012","South West","Median",477.4
"2012","South West","10 percentile",281.8
"2012","South West","25 percentile",350.1
"2012","South West","75 percentile",679.0
"2012","South West","90 percentile",924.6
"2012","Wales","Median",454.9
"2012","Wales","10 percentile",271.5
"2012","Wales","25 percentile",337.4
"2012","Wales","75 percentile",639.8
"2012","Wales","90 percentile",845.6
"2012","Scotland","Median",498.3
"2012","Scotland","10 percentile",280.1
"2012","Scotland","25 percentile",356.9
"2012","Scotland","75 percentile",685.5
"2012","Scotland","90 percentile",941.2
"2013","North East","Median",472.2
"2013","North East","10 percentile",271.5
"2013","North East","25 percentile",344.7
"2013","North East","75 percentile",667.4
"2013","North East","90 percentile",877.1
"2013","North West","Median",483.3
"2013","North West","10 percentile",278.5
"2013","North West","25 percentile",349.8
"2013","North West","75 percentile",681.4
"2013","North West","90 percentile",918.1
"2013","Yorkshire and The Humber","Median",479.1
"2013","Yorkshire and The Humber","10 percentile",275.0
"2013","Yorkshire and The Humber","25 percentile",345.4
"2013","Yorkshire and The Humber","75 percentile",663.7
"2013","Yorkshire and The Humber","90 percentile",886.2
"2013","East Midlands","Median",483.0
"2013","East Midlands","10 percentile",276.2
"2013","East Midlands","25 percentile",351.1
"2013","East Midlands","75 percentile",688.8
"2013","East Midlands","90 percentile",936.7
"2013","West Midlands","Median",483.0
"2013","West Midlands","10 percentile",277.2
"2013","West Midlands","25 percentile",348.0
"2013","West Midlands","75 percentile",679.3
"2013","West Midlands","90 percentile",926.2
"2013","East","Median",543.5
"2013","East","10 percentile",296.6
"2013","East","25 percentile",387.7
"2013","East","75 percentile",779.1
"2013","East","90 percentile",1094.9
"2013","London","Median",613.3
"2013","London","10 percentile",327.1
"2013","London","25 percentile",440.8
"2013","London","75 percentile",864.5
"2013","London","90 percentile",1285.5
"2013","South East","Median",557.6
"2013","South East","10 percentile",303.4
"2013","South East","25 percentile",394.7
"2013","South East","75 percentile",805.4
"2013","South East","90 percentile",1177.3
"2013","South West","Median",485.1
"2013","South West","10 percentile",284.0
"2013","South West","25 percentile",356.5
"2013","South West","75 percentile",686.0
"2013","South West","90 percentile",938.4
"2013","Wales","Median",475.3
"2013","Wales","10 percentile",278.8
"2013","Wales","25 percentile",344.2
"2013","Wales","75 percentile",661.8
"2013","Wales","90 percentile",859.2
"2013","Scotland","Median",507.9
"2013","Scotland","10 percentile",288.8
"2013","Scotland","25 percentile",366.6
"2013","Scotland","75 percentile",699.4
"2013","Scotland","90 percentile",961.4
"2014","North East","Median",476.7
"2014","North East","10 percentile",278.2
"2014","North East","25 percentile",349.5
"2014","North East","75 percentile",662.0
"2014","North East","90 percentile",874.1
"2014","North West","Median",485.3
"2014","North West","10 percentile",280.8
"2014","North West","25 percentile",352.4
"2014","North West","75 percentile",686.1
"2014","North West","90 percentile",920.7
"2014","Yorkshire and The Humber","Median",479.0
"2014","Yorkshire and The Humber","10 percentile",276.7
"2014","Yorkshire and The Humber","25 percentile",346.9
"2014","Yorkshire and The Humber","75 percentile",668.4
"2014","Yorkshire and The Humber","90 percentile",894.2
"2014","East Midlands","Median",483.7
"2014","East Midlands","10 percentile",280.0
"2014","East Midlands","25 percentile",352.9
"2014","East Midlands","75 percentile",687.5
"2014","East Midlands","90 percentile",928.2
"2014","West Midlands","Median",481.2
"2014","West Midlands","10 percentile",279.0
"2014","West Midlands","25 percentile",350.0
"2014","West Midlands","75 percentile",680.6
"2014","West Midlands","90 percentile",910.3
"2014","East","Median",539.1
"2014","East","10 percentile",292.6
"2014","East","25 percentile",383.4
"2014","East","75 percentile",777.3
"2014","East","90 percentile",1104.0
"2014","London","Median",617.1
"2014","London","10 percentile",325.8
"2014","London","25 percentile",440.8
"2014","London","75 percentile",875.8
"2014","London","90 percentile",1288.2
"2014","South East","Median",567.2
"2014","South East","10 percentile",306.0
"2014","South East","25 percentile",400.0
"2014","South East","75 percentile",810.0
"2014","South East","90 percentile",1188.2
"2014","South West","Median",495.8
"2014","South West","10 percentile",288.0
"2014","South West","25 percentile",361.6
"2014","South West","75 percentile",690.0
"2014","South West","90 percentile",950.2
"2014","Wales","Median",480.0
"2014","Wales","10 percentile",278.4
"2014","Wales","25 percentile",347.8
"2014","Wales","75 percentile",662.9
"2014","Wales","90 percentile",863.4
"2014","Scotland","Median",518.6
"2014","Scotland","10 percentile",291.1
"2014","Scotland","25 percentile",374.3
"2014","Scotland","75 percentile",709.7
"2014","Scotland","90 percentile",961.2
"2015","North East","Median",485.6
"2015","North East","10 percentile",287.7
"2015","North East","25 percentile",358.7
"2015","North East","75 percentile",679.4
"2015","North East","90 percentile",881.8
"2015","North West","Median",491.5
"2015","North West","10 percentile",285.9
"2015","North West","25 percentile",358.4
"2015","North West","75 percentile",691.2
"2015","North West","90 percentile",929.7
"2015","Yorkshire and The Humber","Median",480.6
"2015","Yorkshire and The Humber","10 percentile",284.2
"2015","Yorkshire and The Humber","25 percentile",352.1
"2015","Yorkshire and The Humber","75 percentile",677.6
"2015","Yorkshire and The Humber","90 percentile",907.7
"2015","East Midlands","Median",491.0
"2015","East Midlands","10 percentile",286.0
"2015","East Midlands","25 percentile",359.8
"2015","East Midlands","75 percentile",703.6
"2015","East Midlands","90 percentile",949.7
"2015","West Midlands","Median",492.1
"2015","West Midlands","10 percentile",287.5
"2015","West Midlands","25 percentile",363.1
"2015","West Midlands","75 percentile",686.4
"2015","West Midlands","90 percentile",919.9
"2015","East","Median",550.6
"2015","East","10 percentile",304.1
"2015","East","25 percentile",390.0
"2015","East","75 percentile",787.5
"2015","East","90 percentile",1115.1
"2015","London","Median",620.8
"2015","London","10 percentile",336.5
"2015","London","25 percentile",448.7
"2015","London","75 percentile",880.8
"2015","London","90 percentile",1293.6
"2015","South East","Median",574.9
"2015","South East","10 percentile",314.1
"2015","South East","25 percentile",407.8
"2015","South East","75 percentile",816.7
"2015","South East","90 percentile",1191.9
"2015","South West","Median",498.3
"2015","South West","10 percentile",293.6
"2015","South West","25 percentile",369.2
"2015","South West","75 percentile",700.7
"2015","South West","90 percentile",966.9
"2015","Wales","Median",487.6
"2015","Wales","10 percentile",285.9
"2015","Wales","25 percentile",354.0
"2015","Wales","75 percentile",677.5
"2015","Wales","90 percentile",893.8
"2015","Scotland","Median",527.0
"2015","Scotland","10 percentile",299.9
"2015","Scotland","25 percentile",381.9
"2015","Scotland","75 percentile",714.1
"2015","Scotland","90 percentile",966.3
"2016","North East","Median",492.4
"2016","North East","10 percentile",299.0
"2016","North East","25 percentile",365.0
"2016","North East","75 percentile",683.1
"2016","North East","90 percentile",903.9
"2016","North West","Median",502.5
"2016","North West","10 percentile",299.3
"2016","North West","25 percentile",370.0
"2016","North West","75 percentile",711.3
"2016","North West","90 percentile",961.3
"2016","Yorkshire and The Humber","Median",498.3
"2016","Yorkshire and The Humber","10 percentile",296.1
"2016","Yorkshire and The Humber","25 percentile",365.1
"2016","Yorkshire and The Humber","75 percentile",691.2
"2016","Yorkshire and The Humber","90 percentile",919.9
"2016","East Midlands","Median",501.5
"2016","East Midlands","10 percentile",300.5
"2016","East Midlands","25 percentile",369.7
"2016","East Midlands","75 percentile",712.1
"2016","East Midlands","90 percentile",977.8
"2016","West Midlands","Median",507.6
"2016","West Midlands","10 percentile",301.3
"2016","West Midlands","25 percentile",372.8
"2016","West Midlands","75 percentile",718.4
"2016","West Midlands","90 percentile",958.2
"2016","East","Median",569.5
"2016","East","10 percentile",317.0
"2016","East","25 percentile",407.2
"2016","East","75 percentile",814.5
"2016","East","90 percentile",1151.4
"2016","London","Median",631.8
"2016","London","10 percentile",346.3
"2016","London","25 percentile",459.9
"2016","London","75 percentile",908.5
"2016","London","90 percentile",1322.4
"2016","South East","Median",581.8
"2016","South East","10 percentile",324.6
"2016","South East","25 percentile",419.7
"2016","South East","75 percentile",835.9
"2016","South East","90 percentile",1204.1
"2016","South West","Median",513.4
"2016","South West","10 percentile",307.8
"2016","South West","25 percentile",378.4
"2016","South West","75 percentile",718.7
"2016","South West","90 percentile",981.6
"2016","Wales","Median",499.2
"2016","Wales","10 percentile",297.1
"2016","Wales","25 percentile",368.3
"2016","Wales","75 percentile",699.1
"2016","Wales","90 percentile",899.9
"2016","Scotland","Median",536.0
"2016","Scotland","10 percentile",311.2
"2016","Scotland","25 percentile",389.6
"2016","Scotland","75 percentile",727.3
"2016","Scotland","90 percentile",987.0
"2017","North East","Median",504.1
"2017","North East","10 percentile",308.9
"2017","North East","25 percentile",374.9
"2017","North East","75 percentile",707.0
"2017","North East","90 percentile",933.7
"2017","North West","Median",514.5
"2017","North West","10 percentile",307.6
"2017","North West","25 percentile",377.0
"2017","North West","75 percentile",725.7
"2017","North West","90 percentile",970.0
"2017","Yorkshire and The Humber","Median",502.3
"2017","Yorkshire and The Humber","10 percentile",304.7
"2017","Yorkshire and The Humber","25 percentile",371.4
"2017","Yorkshire and The Humber","75 percentile",700.0
"2017","Yorkshire and The Humber","90 percentile",939.1
"2017","East Midlands","Median",516.7
"2017","East Midlands","10 percentile",306.6
"2017","East Midlands","25 percentile",380.3
"2017","East Midlands","75 percentile",729.5
"2017","East Midlands","90 percentile",1000.5
"2017","West Midlands","Median",517.1
"2017","West Midlands","10 percentile",308.3
"2017","West Midlands","25 percentile",380.6
"2017","West Midlands","75 percentile",728.3
"2017","West Midlands","90 percentile",984.3
"2017","East","Median",574.9
"2017","East","10 percentile",324.6
"2017","East","25 percentile",416.2
"2017","East","75 percentile",817.0
"2017","East","90 percentile",1172.9
"2017","London","Median",654.1
"2017","London","10 percentile",364.1
"2017","London","25 percentile",478.4
"2017","London","75 percentile",941.3
"2017","London","90 percentile",1379.9
"2017","South East","Median",595.9
"2017","South East","10 percentile",335.8
"2017","South East","25 percentile",428.0
"2017","South East","75 percentile",859.6
"2017","South East","90 percentile",1244.4
"2017","South West","Median",527.0
"2017","South West","10 percentile",317.5
"2017","South West","25 percentile",388.1
"2017","South West","75 percentile",733.1
"2017","South West","90 percentile",1010.2
"2017","Wales","Median",505.7
"2017","Wales","10 percentile",308.4
"2017","Wales","25 percentile",373.7
"2017","Wales","75 percentile",707.0
"2017","Wales","90 percentile",919.8
"2017","Scotland","Median",547.4
"2017","Scotland","10 percentile",322.1
"2017","Scotland","25 percentile",400.7
"2017","Scotland","75 percentile",743.6
"2017","Scotland","90 percentile",1011.9
"2018","North East","Median",511.1
"2018","North East","10 percentile",319.0
"2018","North East","25 percentile",383.3
"2018","North East","75 percentile",714.9
"2018","North East","90 percentile",942.7
"2018","North West","Median",529.8
"2018","North West","10 percentile",320.1
"2018","North West","25 percentile",388.7
"2018","North West","75 percentile",747.7
"2018","North West","90 percentile",1014.8
"2018","Yorkshire and The Humber","Median",520.4
"2018","Yorkshire and The Humber","10 percentile",319.6
"2018","Yorkshire and The Humber","25 percentile",387.5
"2018","Yorkshire and The Humber","75 percentile",722.2
"2018","Yorkshire and The Humber","90 percentile",967.9
"2018","East Midlands","Median",529.9
"2018","East Midlands","10 percentile",317.5
"2018","East Midlands","25 percentile",386.1
"2018","East Midlands","75 percentile",751.1
"2018","East Midlands","90 percentile",1034.7
