period,geography,variable,value
Oct 2018-Sep 2019,North East,Unemployment rate - aged 50+,3.9
Oct 2018-Sep 2019,North East,Employment rate - aged 16-24,50.1
Oct 2018-Sep 2019,North East,Employment rate - aged 25-49,81.2
Oct 2018-Sep 2019,North East,Employment rate - aged 50+,38.8
Jan 2019-Dec 2019,North East,Unemployment rate - aged 16-24,17.4
Jan 2019-Dec 2019,North East,Unemployment rate - aged 25-49,4.2
Jan 2019-Dec 2019,North East,Unemployment rate - aged 50+,3.7
Jan 2019-Dec 2019,North East,Employment rate - aged 16-24,48.6
Jan 2019-Dec 2019,North East,Employment rate - aged 25-49,80.3
Jan 2019-Dec 2019,North East,Employment rate - aged 50+,38.7
