"DATE_NAME","GEOGRAPHY_NAME","C_AGE_NAME","OBS_VALUE"
"2025","South West","Age 26",66301
"2025","South West","Age 27",65940
"2025","South West","Age 28",68309
"2025","South West","Age 29",66990
"2025","South West","Age 30",68153
"2025","South West","Age 31",71437
"2025","South West","Age 32",71505
"2025","South West","Age 33",73855
"2025","South West","Age 34",75896
"2025","South West","Age 35",76234
"2025","South West","Age 36",76346
"2025","South West","Age 37",77164
"2025","South West","Age 38",75842
"2025","South West","Age 39",74778
"2025","South West","Age 40",74172
"2025","South West","Age 41",72516
"2025","South West","Age 42",72233
"2025","South West","Age 43",72309
"2025","South West","Age 44",72890
"2025","South West","Age 45",72896
"2025","South West","Age 46",69985
"2025","South West","Age 47",64181
"2025","South West","Age 48",64002
"2025","South West","Age 49",65392
"2025","South West","Age 50",67536
"2025","South West","Age 51",69946
"2025","South West","Age 52",73249
"2025","South West","Age 53",76500
"2025","South West","Age 54",79518
"2025","South West","Age 55",78180
"2025","South West","Age 56",80508
"2025","South West","Age 57",80458
"2025","South West","Age 58",83214
"2025","South West","Age 59",83660
"2025","South West","Age 60",84165
"2025","South West","Age 61",84080
"2025","South West","Age 62",81393
"2025","South West","Age 63",80352
"2025","South West","Age 64",77680
"2025","Wales","Age 18",34742
"2025","Wales","Age 19",35107
"2025","Wales","Age 20",37019
"2025","Wales","Age 21",36097
"2025","Wales","Age 22",37240
"2025","Wales","Age 23",38234
"2025","Wales","Age 24",37742
"2025","Wales","Age 25",37432
"2025","Wales","Age 26",37971
"2025","Wales","Age 27",37607
"2025","Wales","Age 28",39364
"2025","Wales","Age 29",37870
"2025","Wales","Age 30",38462
"2025","Wales","Age 31",39450
"2025","Wales","Age 32",39523
"2025","Wales","Age 33",41145
"2025","Wales","Age 34",42038
"2025","Wales","Age 35",41419
"2025","Wales","Age 36",41220
"2025","Wales","Age 37",42078
"2025","Wales","Age 38",41098
"2025","Wales","Age 39",40401
"2025","Wales","Age 40",40261
"2025","Wales","Age 41",38391
"2025","Wales","Age 42",38731
"2025","Wales","Age 43",38145
"2025","Wales","Age 44",38348
"2025","Wales","Age 45",38824
"2025","Wales","Age 46",36672
"2025","Wales","Age 47",33798
"2025","Wales","Age 48",33448
"2025","Wales","Age 49",34253
"2025","Wales","Age 50",35581
"2025","Wales","Age 51",36600
"2025","Wales","Age 52",38839
"2025","Wales","Age 53",41240
"2025","Wales","Age 54",43840
"2025","Wales","Age 55",42219
"2025","Wales","Age 56",44247
"2025","Wales","Age 57",43707
"2025","Wales","Age 58",44621
"2025","Wales","Age 59",44592
"2025","Wales","Age 60",45781
"2025","Wales","Age 61",45613
"2025","Wales","Age 62",44510
"2025","Wales","Age 63",43653
"2025","Wales","Age 64",42025
"2025","Scotland","Age 18",58845
"2025","Scotland","Age 19",60417
"2025","Scotland","Age 20",59475
"2025","Scotland","Age 21",64516
"2025","Scotland","Age 22",70491
"2025","Scotland","Age 23",71968
"2025","Scotland","Age 24",74061
"2025","Scotland","Age 25",76186
"2025","Scotland","Age 26",72864
"2025","Scotland","Age 27",70538
"2025","Scotland","Age 28",71461
"2025","Scotland","Age 29",70063
"2025","Scotland","Age 30",69546
"2025","Scotland","Age 31",71622
"2025","Scotland","Age 32",71860
"2025","Scotland","Age 33",74136
"2025","Scotland","Age 34",75554
"2025","Scotland","Age 35",73473
"2025","Scotland","Age 36",73538
"2025","Scotland","Age 37",74838
"2025","Scotland","Age 38",72020
"2025","Scotland","Age 39",72592
"2025","Scotland","Age 40",72734
"2025","Scotland","Age 41",70758
"2025","Scotland","Age 42",71110
"2025","Scotland","Age 43",70799
"2025","Scotland","Age 44",71485
"2025","Scotland","Age 45",69461
"2025","Scotland","Age 46",68064
"2025","Scotland","Age 47",62504
"2025","Scotland","Age 48",61517
"2025","Scotland","Age 49",64733
"2025","Scotland","Age 50",65383
